label,n,g,steps,ansatz_d,baseline_max_td,best_single_max_td,perturb_scale,expanded_max_td,expanded_over_best,expanded_members
n8_g15_s4_d4,8,1.5,4,4,0.07576281955961277,0.07322244349971013,0.02,0.07428188390047197,1.014468793311521,18
n8_g15_s4_d4,8,1.5,4,4,0.07576281955961277,0.07322244349971013,0.05,0.07416601147248568,1.0128863218390038,18
n8_g15_s4_d4,8,1.5,4,4,0.07576281955961277,0.07322244349971013,0.1,0.07379927012396847,1.0078777297873243,18
n8_g15_s4_d4,8,1.5,4,4,0.07576281955961277,0.07322244349971013,0.2,0.07330526321339412,1.0011310700616582,18
n10_g15_s4_d4,10,1.5,4,4,0.06978868578845365,0.07078661479740939,0.02,0.06836573893375708,0.9658003724209608,18
n10_g15_s4_d4,10,1.5,4,4,0.06978868578845365,0.07078661479740939,0.05,0.06855515296761598,0.968476217768291,18
n10_g15_s4_d4,10,1.5,4,4,0.06978868578845365,0.07078661479740939,0.1,0.06788919387153815,0.9590682372060928,18
n10_g15_s4_d4,10,1.5,4,4,0.06978868578845365,0.07078661479740939,0.2,0.06724971089061925,0.9500342837849681,18
n10_g10_s4_d4,10,1.0,4,4,0.0663263452382681,0.0669045292083892,0.02,0.0649981149299293,0.9715054526051301,18
n10_g10_s4_d4,10,1.0,4,4,0.0663263452382681,0.0669045292083892,0.05,0.06499261047960675,0.9714231793960114,18
n10_g10_s4_d4,10,1.0,4,4,0.0663263452382681,0.0669045292083892,0.1,0.06440976666926887,0.9627116046007912,18
n10_g10_s4_d4,10,1.0,4,4,0.0663263452382681,0.0669045292083892,0.2,0.06406676033113719,0.9575848016445472,18
n10_g03_s6_d4,10,0.3,6,4,0.06450624437296487,0.0635527383040067,0.02,0.06271562565619679,0.9868280632723399,18
n10_g03_s6_d4,10,0.3,6,4,0.06450624437296487,0.0635527383040067,0.05,0.06307692238635171,0.9925130540342901,18
n10_g03_s6_d4,10,0.3,6,4,0.06450624437296487,0.0635527383040067,0.1,0.06252021697670565,0.9837533148868904,18
n10_g03_s6_d4,10,0.3,6,4,0.06450624437296487,0.0635527383040067,0.2,0.06222580920753072,0.9791208194660539,18
n8_g15_s8_d4,8,1.5,8,4,0.056792481463484465,0.05656204313035154,0.02,0.05763590601862738,1.0189855745804839,18
n8_g15_s8_d4,8,1.5,8,4,0.056792481463484465,0.05656204313035154,0.05,0.05784511225010472,1.0226842781615268,18
n8_g15_s8_d4,8,1.5,8,4,0.056792481463484465,0.05656204313035154,0.1,0.0577445643609611,1.0209066215639409,18
n8_g15_s8_d4,8,1.5,8,4,0.056792481463484465,0.05656204313035154,0.2,0.05730382557189412,1.013114491635903,18
n4_g15_s8_d4,4,1.5,8,4,0.04769047105388808,0.04733343380435753,0.02,0.04919571442015507,1.039343873159401,18
n4_g15_s8_d4,4,1.5,8,4,0.04769047105388808,0.04733343380435753,0.05,0.04925484178965241,1.0405930402859973,18
n4_g15_s8_d4,4,1.5,8,4,0.04769047105388808,0.04733343380435753,0.1,0.04910917706591681,1.0375156230773142,18
n4_g15_s8_d4,4,1.5,8,4,0.04769047105388808,0.04733343380435753,0.2,0.04870172577409638,1.0289075154655878,18
