label,n,g,steps,ansatz_d,circuit_idx,frobenius_abs,frobenius_norm,mean_td,max_td,max_over_mean
n6_g03_s4_d2,6,0.3,4,2,0,0.17954952720700226,0.022443690900875283,0.022161741358242393,0.027153673286887933,1.2252499859082122
n6_g03_s4_d2,6,0.3,4,2,1,0.1795495272060525,0.022443690900756562,0.022161741358242386,0.027153673286887968,1.225249985908214
n6_g03_s4_d2,6,0.3,4,2,2,0.17954952720676481,0.022443690900845602,0.0221617413582424,0.027153673286888093,1.2252499859082189
n8_g03_s4_d2,8,0.3,4,2,0,0.4397490471852638,0.027484315449078988,0.027099969620264747,0.02850212240086491,1.0517400130054635
n8_g03_s4_d2,8,0.3,4,2,1,0.4397490471852638,0.027484315449078988,0.027099969620264782,0.028502122400864912,1.0517400130054622
n8_g03_s4_d2,8,0.3,4,2,2,0.4397490471857162,0.027484315449107264,0.02709996962026484,0.02850212240086497,1.0517400130054622
n10_g03_s4_d2,10,0.3,4,2,0,1.015476654475883,0.03173364545237135,0.03164558615383087,0.033992111246079995,1.0741501541745047
n10_g03_s4_d2,10,0.3,4,2,1,1.0154766544754354,0.03173364545235736,0.03164558615383086,0.03399211124608008,1.0741501541745075
n10_g03_s4_d2,10,0.3,4,2,2,1.0154766544759952,0.03173364545237485,0.03164558615383087,0.03399211124607994,1.0741501541745029
n8_g03_s8_d4,8,0.3,8,4,0,11.168487145204612,0.6980304465752882,0.6526563057014937,0.6597437132534123,1.0108593259423133
n8_g03_s8_d4,8,0.3,8,4,1,0.24518884961395188,0.015324303100871992,0.015274653364891415,0.01621804306730384,1.0617617748747605
n8_g03_s8_d4,8,0.3,8,4,2,1.317838925086841,0.08236493281792756,0.08231841002141867,0.08630964731832333,1.0484853545624384
n10_g10_s4_d4,10,1.0,4,4,0,1.3413108201109587,0.04191596312846746,0.04188731025484343,0.043820623388108715,1.0461551033356633
n10_g10_s4_d4,10,1.0,4,4,1,23.513334209050313,0.7347916940328223,0.6825678174157902,0.685504573436532,1.004302511700391
n10_g10_s4_d4,10,1.0,4,4,2,1.990985798494633,0.062218306202957284,0.062191279535901624,0.0650319643307645,1.0456765774247017
n10_g15_s8_d4,10,1.5,8,4,0,27.84047717191379,0.8700149116223059,0.7829274401008317,0.7982010205922951,1.0195082963109536
n10_g15_s8_d4,10,1.5,8,4,1,1.826979907374263,0.05709312210544572,0.05694171940926344,0.059212911514438187,1.039886257892052
n10_g15_s8_d4,10,1.5,8,4,2,1.6846223368275393,0.0526444480258606,0.05255411597695795,0.05566098035425125,1.059117431994394
n6_g03_s2_d2,6,0.3,2,2,0,0.018933035043819334,0.002366629380477417,0.002316792780120448,0.002707206012365,1.1685145238687487
n6_g03_s2_d2,6,0.3,2,2,1,0.018933035044945215,0.002366629380618152,0.0023167927801204242,0.0027072060123651347,1.1685145238688188
n6_g03_s2_d2,6,0.3,2,2,2,0.01893303505320165,0.002366629381650206,0.002316792780120444,0.0027072060123649166,1.1685145238687147
n8_g03_s2_d4,8,0.3,2,4,0,0.042419085957749104,0.002651192872359319,0.0026041180453945695,0.0027769908587760564,1.0663843997729732
n8_g03_s2_d4,8,0.3,2,4,1,12.245271304513652,0.7653294565321033,0.7053130035030015,0.7071193207937005,1.0025610151545878
n8_g03_s2_d4,8,0.3,2,4,2,0.04313969104625099,0.002696230690390687,0.002659092097435849,0.0028822918111769133,1.083938316373583
